Time,Thrust
0,0.0514
100,0.0514
200,0.0522
300,0.0522
400,0.0000
500,0.0529
600,0.0529
700,0.0000
800,0.0529
900,0.0529
1000,0.0000
1100,0.0000
1200,0.0536
1300,0.0529
1400,0.0529
1500,0.0529
1600,0.0529
1700,0.0536
1800,0.0536
1900,0.0536
2000,0.0529
2100,0.0514
2200,0.0499
2300,0.0484
2400,0.0477
2500,0.0469
2600,0.0000
2700,0.0462
2800,0.0000
2900,0.0454
3000,0.0447
3100,0.0447
3200,0.0447
3300,0.0440
3400,0.0440
3500,0.0000
3600,0.0440
3700,0.0000
3800,0.0440
3900,0.0440
4000,0.0000
4100,0.0000
4200,0.0000
4300,0.0000
4400,0.0000
4500,0.0000
4600,0.0000
4700,0.0000
4800,0.0000
4900,0.0000
5000,0.0000
5100,0.0000
5200,0.0000
5300,0.0000
5400,0.0000
5500,0.0000
5600,0.0000
5700,0.0000
5800,0.0000
5900,0.0000
6000,0.0000
6100,0.0000
6200,0.0000
6300,0.0000
6400,0.0000
6500,0.0000
6600,0.0000
6700,0.0000
6800,0.0000
6900,0.0000
7000,0.0000
7100,0.0000
7200,0.0000
7300,0.0000
7400,0.0000
7500,0.0000
7600,0.0000
7700,0.0000
7800,0.0000
7900,0.0000
8000,0.0000
8100,0.0000
8200,0.0000
8300,0.0000
8400,0.0000
8500,0.0000
8600,0.0000
8700,0.0000
8800,0.0000
8900,0.0000
9000,0.0000
9100,0.0000
9200,0.0000
9300,0.0000
9400,0.0000
9500,0.0000
9600,0.0000
9700,0.0000
9800,0.0000
9900,0.0000
10000,3.6609
10100,4.7605
10200,0.0000
10300,0.0000
10400,0.0000
10500,0.0000
10600,6.1343
10700,5.9309
10800,5.6538
10900,5.3454
11000,5.0429
11100,4.7330
11200,4.4372
11300,4.1683
11400,0.0000
11500,0.0000
11600,3.3726
11700,0.0000
11800,0.0000
11900,0.0000
12000,0.0000
12100,0.0000
12200,0.0000
12300,0.0000
12400,1.7776
12500,1.6703
12600,0.0000
12700,0.0000
12800,1.4110
12900,1.3313
13000,1.2531
13100,0.0000
13200,1.1019
13300,1.0274
13400,0.9543
13500,0.8798
13600,0.0000
13700,0.0000
13800,0.0000
13900,0.0000
14000,0.2950
14100,0.1408
14200,0.0000
14300,-0.1572
14400,-0.2861
14500,0.0000
14600,0.0000
14700,0.0000
14800,0.0000
14900,0.0000
15000,-0.6630
15100,-0.6817
15200,-0.6921
15300,-0.6958
15400,-0.6966
15500,-0.6966
15600,0.0000
15700,-0.6951
15800,0.0000
15900,-0.6951
16000,-0.6943
16100,0.0000
16200,0.0000
16300,0.0000
16400,0.0000
16500,-0.6966
16600,0.0000
16700,-0.6966
16800,-0.6966
16900,-0.6973
17000,-0.6966
17100,0.0000
17200,-0.6973
17300,-0.6966
17400,-0.6973
17500,-0.6973
17600,-0.6981
17700,0.0000
17800,0.0000
17900,0.0000
18000,0.0000
18100,-0.6988
18200,-0.6996
18300,-0.6996
18400,-0.6996
18500,0.0000
18600,0.0000
18700,-0.7003
18800,-0.7010
18900,-0.7010
19000,-0.7010
19100,0.0000
19200,-0.7010
19300,-0.7003
19400,-0.7003
19500,-0.7003
19600,-0.7003
19700,0.0000
19800,0.0000
19900,0.0000
20000,0.0000
20100,0.0000
20200,-0.7010
20300,0.0000
20400,0.0000
20500,0.0000
20600,0.0000
20700,0.0000
20800,-0.7033
20900,-0.7040
21000,-0.7040
21100,0.0000
21200,0.0000
21300,0.0000
21400,-0.7040
21500,0.0000
21600,0.0000
21700,-0.7040
21800,-0.7040
21900,-0.7040
22000,-0.7040
22100,-0.7033
22200,0.0000
22300,-0.7025
22400,0.0000
22500,-0.7025
22600,-0.7025
22700,0.0000
22800,-0.7025
