Time,Thrust
0,0.0514
100,0.0514
200,0.0522
300,0.0522
400,0.0522
500,0.0529
600,0.0529
700,0.0529
800,0.0529
900,0.0529
1000,0.0529
1100,0.0536
1200,0.0536
1300,0.0529
1400,0.0529
1500,0.0529
1600,0.0529
1700,0.0536
1800,0.0536
1900,0.0536
2000,0.0529
2100,0.0514
2200,0.0499
2300,0.0484
2400,0.0477
2500,0.0469
2600,0.0462
2700,0.0462
2800,0.0462
2900,0.0454
3000,0.0447
3100,0.0447
3200,0.0447
3300,0.0440
3400,0.0440
3500,0.0440
3600,0.0440
3700,0.0440
3800,0.0440
3900,0.0440
4000,0.0440
4100,0.0440
4200,0.0440
4300,0.0440
4400,0.0440
4500,0.0440
4600,0.0440
4700,0.0440
4800,0.0440
4900,0.0440
5000,0.0440
5100,0.0440
5200,0.0440
5300,0.0440
5400,0.0440
5500,0.0440
5600,0.0440
5700,0.0440
5800,0.0440
5900,0.0440
6000,0.0447
6100,0.0447
6200,0.0447
6300,0.0447
6400,0.0447
6500,0.0447
6600,0.0447
6700,0.0447
6800,0.0447
6900,0.0447
7000,0.0447
7100,0.0447
7200,0.0447
7300,0.0447
7400,0.0447
7500,0.0447
7600,0.0447
7700,0.0447
7800,0.0447
7900,0.0447
8000,0.0447
8100,0.0447
8200,0.0447
8300,0.0447
8400,0.0447
8500,0.0447
8600,0.0447
8700,0.0447
8800,0.0454
8900,0.0454
9000,0.0454
9100,0.0454
9200,0.0462
9300,0.0484
9400,0.0670
9500,0.1639
9600,0.3576
9700,0.7822
9800,1.5272
9900,2.5330
10000,3.6609
10100,4.7605
10200,5.5279
10300,5.9749
10400,6.2282
10500,6.2878
10600,6.1343
10700,5.9309
10800,5.6538
10900,5.3454
11000,5.0429
11100,4.7330
11200,4.4372
11300,4.1683
11400,3.8949
11500,3.6229
11600,3.3726
11700,3.1402
11800,2.9100
11900,2.6865
12000,2.4719
12100,2.2700
12200,2.0853
12300,1.9199
12400,1.7776
12500,1.6703
12600,1.5779
12700,1.4930
12800,1.4110
12900,1.3313
13000,1.2531
13100,1.1771
13200,1.1019
13300,1.0274
13400,0.9543
13500,0.8798
13600,0.7852
13700,0.6772
13800,0.5580
13900,0.4299
14000,0.2950
14100,0.1408
14200,-0.0119
14300,-0.1572
14400,-0.2861
14500,-0.3747
14600,-0.4544
14700,-0.5245
14800,-0.5833
14900,-0.6303
15000,-0.6630
15100,-0.6817
15200,-0.6921
15300,-0.6958
15400,-0.6966
15500,-0.6966
15600,-0.6958
15700,-0.6951
15800,-0.6951
15900,-0.6951
16000,-0.6943
16100,-0.6943
16200,-0.6951
16300,-0.6958
16400,-0.6966
16500,-0.6966
16600,-0.6966
16700,-0.6966
16800,-0.6966
16900,-0.6973
17000,-0.6966
17100,-0.6973
17200,-0.6973
17300,-0.6966
17400,-0.6973
17500,-0.6973
17600,-0.6981
17700,-0.6981
17800,-0.6981
17900,-0.6988
18000,-0.6988
18100,-0.6988
18200,-0.6996
18300,-0.6996
18400,-0.6996
18500,-0.6996
18600,-0.6996
18700,-0.7003
18800,-0.7010
18900,-0.7010
19000,-0.7010
19100,-0.7010
19200,-0.7010
19300,-0.7003
19400,-0.7003
19500,-0.7003
19600,-0.7003
19700,-0.7003
19800,-0.7003
19900,-0.7003
20000,-0.7010
20100,-0.7010
20200,-0.7010
20300,-0.7010
20400,-0.7018
20500,-0.7018
20600,-0.7025
20700,-0.7025
20800,-0.7033
20900,-0.7040
21000,-0.7040
21100,-0.7040
21200,-0.7040
21300,-0.7040
21400,-0.7040
21500,-0.7040
21600,-0.7040
21700,-0.7040
21800,-0.7040
21900,-0.7040
22000,-0.7040
22100,-0.7033
22200,-0.7025
22300,-0.7025
22400,-0.7025
22500,-0.7025
22600,-0.7025
22700,-0.7025
22800,-0.7025
